CATEGORIA,PRODUCTO,PROVEEDOR,WEB,UBICACION,PRECIO_500G,PRECIO_1KG,PRECIO_2.5KG,PRECIO_5KG,PRECIO_25KG,UNIDAD_MINIMA,CERTIFICACIONES,NOTAS,CONTACTO
Packaging,Bolsas Papel con Logo,Factory Packaging,factorybolsasmadrid.es,Madrid,Consultar,-,-,-,-,Variable,-,+10 años experiencia. Nacional,-
Packaging,Bolsas Papel Kraft Baratas,imprentaonline.net,imprentaonline.net,España,Desde ~30€,-,-,-,-,Variable,-,Impresión digital,-

===== PACKAGING - ETIQUETAS =====
Packaging,Etiquetas Adhesivas Alimentación,TRUYOL,truyol.com,España,-,-,-,-,191.94€ (10000uds),10000 uds,ISEGA contacto alimentos,Anti grasa - Resistente humedad,-
Packaging,Etiquetas Adhesivas Personalizadas,AreaGraficaDigital,areagraficadigital.es,España,Desde 24.90€ (100uds),-,-,-,-,100 uds,-,Entrega 24h nacional,-
Packaging,Etiquetas Bobina,360imprimir,360imprimir.es,España,Desde 8.19€,-,-,-,-,Variable,-,Online económico,-
Packaging,Etiquetas Rollo Alimentación,imprentaonline.net,imprentaonline.net,España,Consultar,-,-,-,-,Variable,Papel 60g/m² alimenticio,Apto bajas temperaturas,-
Packaging,Etiquetas Adhesivas Rollo,AutoID,autoid.es,España/Portugal,Consultar,-,-,-,-,Variable,+600 tamaños,Zebra - Datamax - SATO compatibles,-
Packaging,Etiquetas Personalizadas Alimentación,Etiquetas Barrio,pegatinasyetiquetas.com,España,Consultar,-,-,-,-,Variable,-,Especialistas alimentos,-

===== PACKAGING - ETIQUETAS LOTE/CADUCIDAD =====
Packaging,Etiquetas Lote y Caducidad (40 rollos x 1000),Valsay,valsay.com,Navarra,-,-,-,-,~40-50€ (40000uds),40000 uds,26x16mm,Para etiquetadora manual,Tel: 948 71 23 71
Packaging,Etiquetas Fecha Caducidad (6 rollos),Self-Paper / Mercamaterial,selfpaper.com,Valencia,~8-12€ (6 rollos),-,-,-,-,6 rollos,Apli 101950,Envío gratis +69€,-
Packaging,Rollos Térmicos Alimentos Congelados,ITG Store,itgstore.es,España,Consultar,-,-,-,-,Rollo,Hasta -40°C,110mm x 50m amarillo,-
Packaging,Etiquetas Control Alimentos,García de Pou,garciadepou.com,España,Consultar,-,-,-,-,Variable,-,Fechas y control,-

===== BRANDING - SELLOS =====
Branding,Sellos Personalizados Madera,Rittagraf,rittagraf.com,Barcelona,Desde ~15-25€,-,-,-,-,1 ud,Láser alta precisión,Fabricación 1-3 días. Tienda física BCN,-
Branding,Sellos Redondos Madera Haya,MiSelloDeCaucho,misellodecaucho.com,España,Desde ~12-20€,-,-,-,-,1 ud,Hasta 45mm,Entrega 24h,-
Branding,Sellos Madera Entrega Urgente,Sellos24horas,sellos24horas.com,España,Desde ~10-18€,-,-,-,-,1 ud,-,Buena relación calidad-precio,-
Branding,Sellos Madera Haya Sostenible,Wanapix,wanapix.es,España,Desde ~15-25€,-,-,-,-,1 ud,Plantaciones sostenibles,Personalización texto/logo,-
Branding,Sellos Madera Personalizados,InterSello,intersello.com,España,Desde ~12-22€,-,-,-,-,1 ud,Hasta 120x290mm,Envío gratis,-
Branding,Sellos con Logo Madera,De Azul Turquesa,deazulturquesa.es,España,Desde ~18-28€,-,-,-,-,1 ud,Max 60x40mm,Servicio diseño +10€,-

===== BRANDING - PEGATINAS Y OTROS =====
Branding,Pegatinas Personalizadas Rollo,Pixartprinting,pixartprinting.es,España,Desde ~25€,-,-,-,-,Variable,Varios materiales,Etiquetadora manual/automática,-
Branding,Pegatinas Alimentación Bobina,imprentaonline.net,imprentaonline.net,España,Consultar,-,-,-,-,Variable,Papel 60g/m²,Semi brillo alimenticio,-
Branding,Codificadoras Fecha/Lote,Trebol Group,trebolgroup.com,España,Consultar equipo,-,-,-,-,-,Multi-envase,Imprime sobre cualquier material,-

===== NOTAS IMPORTANTES =====
Info,MÁLAGA - Proveedores cercanos,Varios,-,Andalucía,-,-,-,-,-,-,-,"Frutos Secos Alhambra (Granada) - Orange Tree (Sevilla) - LemonConcentrate (Murcia área)",-
Info,Envíos gratuitos típicos,-,-,-,-,-,-,-,-,-,-,-,"Makro: según volumen | Buendí: consultar | Villa Granel: +50€ | Un Mundo Granel: +40€",-
Info,Certificaciones importantes,-,-,-,-,-,-,-,-,-,-,-,"Sin Gluten: buscar sello FACE o ELS | Bio: sello EU | Contacto alimentos: ISEGA",-
Info,Recomendación compra volumen,-,-,-,-,-,-,-,-,-,-,-,"Para volúmenes grandes contactar directamente mayoristas: Corbera - Alhambra - Osona Seal Pack",-
